
Initial w1 = 0.1286
Initial w2 = -0.0432
Initial b  = 0.0205 
1000
1000
starting training   
Epoch 1/5000, Loss: 0.46021450, w1: 0.126496, w2: -0.041637, Current b: 0.020528
Epoch 10/5000, Loss: 0.40939739, w1: 0.107171, w2: -0.027110, Current b: 0.020533
Epoch 20/5000, Loss: 0.34745920, w1: 0.084615, w2: -0.010153, Current b: 0.020547
Epoch 30/5000, Loss: 0.28679007, w1: 0.061854, w2: 0.006957, Current b: 0.020479
Epoch 40/5000, Loss: 0.23566737, w1: 0.040010, w2: 0.023378, Current b: 0.020247
Epoch 50/5000, Loss: 0.19779786, w1: 0.019986, w2: 0.038431, Current b: 0.019816
Epoch 60/5000, Loss: 0.17153908, w1: 0.002229, w2: 0.051780, Current b: 0.019195
Epoch 70/5000, Loss: 0.15346614, w1: -0.013232, w2: 0.063403, Current b: 0.018418
Epoch 80/5000, Loss: 0.14072940, w1: -0.026612, w2: 0.073461, Current b: 0.017525
Epoch 90/5000, Loss: 0.13144711, w1: -0.038208, w2: 0.082179, Current b: 0.016552
Epoch 100/5000, Loss: 0.12445134, w1: -0.048318, w2: 0.089779, Current b: 0.015525
Epoch 110/5000, Loss: 0.11901692, w1: -0.057200, w2: 0.096456, Current b: 0.014463
Epoch 120/5000, Loss: 0.11468317, w1: -0.065069, w2: 0.102371, Current b: 0.013382
Epoch 130/5000, Loss: 0.11114866, w1: -0.072095, w2: 0.107653, Current b: 0.012290
Epoch 140/5000, Loss: 0.10821017, w1: -0.078419, w2: 0.112407, Current b: 0.011195
Epoch 150/5000, Loss: 0.10572674, w1: -0.084149, w2: 0.116715, Current b: 0.010102
Epoch 160/5000, Loss: 0.10359802, w1: -0.089376, w2: 0.120644, Current b: 0.009013
Epoch 170/5000, Loss: 0.10175087, w1: -0.094171, w2: 0.124249, Current b: 0.007931
Epoch 180/5000, Loss: 0.10013089, w1: -0.098593, w2: 0.127573, Current b: 0.006858
Epoch 190/5000, Loss: 0.09869681, w1: -0.102689, w2: 0.130652, Current b: 0.005795
Epoch 200/5000, Loss: 0.09741680, w1: -0.106501, w2: 0.133518, Current b: 0.004742
Epoch 210/5000, Loss: 0.09626595, w1: -0.110062, w2: 0.136195, Current b: 0.003700
Epoch 220/5000, Loss: 0.09522448, w1: -0.113400, w2: 0.138704, Current b: 0.002670
Epoch 230/5000, Loss: 0.09427648, w1: -0.116539, w2: 0.141064, Current b: 0.001650
Epoch 240/5000, Loss: 0.09340903, w1: -0.119500, w2: 0.143290, Current b: 0.000641
Epoch 250/5000, Loss: 0.09261153, w1: -0.122300, w2: 0.145394, Current b: -0.000357
Epoch 260/5000, Loss: 0.09187517, w1: -0.124954, w2: 0.147390, Current b: -0.001343
Epoch 270/5000, Loss: 0.09119261, w1: -0.127476, w2: 0.149286, Current b: -0.002320
Epoch 280/5000, Loss: 0.09055764, w1: -0.129878, w2: 0.151091, Current b: -0.003285
Epoch 290/5000, Loss: 0.08996501, w1: -0.132169, w2: 0.152814, Current b: -0.004241
Epoch 300/5000, Loss: 0.08941022, w1: -0.134359, w2: 0.154460, Current b: -0.005186
Epoch 310/5000, Loss: 0.08888942, w1: -0.136455, w2: 0.156036, Current b: -0.006121
Epoch 320/5000, Loss: 0.08839925, w1: -0.138465, w2: 0.157547, Current b: -0.007047
Epoch 330/5000, Loss: 0.08793681, w1: -0.140395, w2: 0.158998, Current b: -0.007964
Epoch 340/5000, Loss: 0.08749957, w1: -0.142251, w2: 0.160393, Current b: -0.008872
Epoch 350/5000, Loss: 0.08708529, w1: -0.144038, w2: 0.161736, Current b: -0.009770
Epoch 360/5000, Loss: 0.08669201, w1: -0.145761, w2: 0.163031, Current b: -0.010660
Epoch 370/5000, Loss: 0.08631799, w1: -0.147423, w2: 0.164281, Current b: -0.011542
Epoch 380/5000, Loss: 0.08596169, w1: -0.149028, w2: 0.165488, Current b: -0.012415
Epoch 390/5000, Loss: 0.08562172, w1: -0.150581, w2: 0.166655, Current b: -0.013281
Epoch 400/5000, Loss: 0.08529685, w1: -0.152084, w2: 0.167785, Current b: -0.014138
Epoch 410/5000, Loss: 0.08498597, w1: -0.153540, w2: 0.168879, Current b: -0.014988
Epoch 420/5000, Loss: 0.08468808, w1: -0.154952, w2: 0.169941, Current b: -0.015831
Epoch 430/5000, Loss: 0.08440228, w1: -0.156322, w2: 0.170971, Current b: -0.016666
Epoch 440/5000, Loss: 0.08412776, w1: -0.157653, w2: 0.171971, Current b: -0.017494
Epoch 450/5000, Loss: 0.08386376, w1: -0.158946, w2: 0.172943, Current b: -0.018316
Epoch 460/5000, Loss: 0.08360962, w1: -0.160204, w2: 0.173889, Current b: -0.019131
Epoch 470/5000, Loss: 0.08336472, w1: -0.161428, w2: 0.174809, Current b: -0.019939
Epoch 480/5000, Loss: 0.08312848, w1: -0.162620, w2: 0.175705, Current b: -0.020740
Epoch 490/5000, Loss: 0.08290041, w1: -0.163781, w2: 0.176578, Current b: -0.021536
Epoch 500/5000, Loss: 0.08268001, w1: -0.164914, w2: 0.177429, Current b: -0.022325
Epoch 510/5000, Loss: 0.08246686, w1: -0.166018, w2: 0.178260, Current b: -0.023108
Epoch 520/5000, Loss: 0.08226055, w1: -0.167097, w2: 0.179070, Current b: -0.023886
Epoch 530/5000, Loss: 0.08206071, w1: -0.168149, w2: 0.179862, Current b: -0.024657
Epoch 540/5000, Loss: 0.08186699, w1: -0.169178, w2: 0.180635, Current b: -0.025423
Epoch 550/5000, Loss: 0.08167908, w1: -0.170184, w2: 0.181391, Current b: -0.026184
Epoch 560/5000, Loss: 0.08149667, w1: -0.171167, w2: 0.182130, Current b: -0.026939
Epoch 570/5000, Loss: 0.08131949, w1: -0.172129, w2: 0.182853, Current b: -0.027689
Epoch 580/5000, Loss: 0.08114729, w1: -0.173070, w2: 0.183561, Current b: -0.028434
Epoch 590/5000, Loss: 0.08097983, w1: -0.173992, w2: 0.184254, Current b: -0.029173
Epoch 600/5000, Loss: 0.08081688, w1: -0.174895, w2: 0.184933, Current b: -0.029908
Epoch 610/5000, Loss: 0.08065823, w1: -0.175780, w2: 0.185598, Current b: -0.030638
Epoch 620/5000, Loss: 0.08050369, w1: -0.176647, w2: 0.186250, Current b: -0.031363
Epoch 630/5000, Loss: 0.08035308, w1: -0.177497, w2: 0.186889, Current b: -0.032083
Epoch 640/5000, Loss: 0.08020622, w1: -0.178332, w2: 0.187516, Current b: -0.032799
Epoch 650/5000, Loss: 0.08006295, w1: -0.179150, w2: 0.188132, Current b: -0.033510
