Initial w = 0.1009
Initial b = 0.1500
Epoch 1/120000, Loss: 12366.16267731, Current w: 1.394618, Current b: 0.169314
Epoch 1000/120000, Loss: 0.15062672, Current w: 2.011673, Current b: 0.217967
Epoch 2000/120000, Loss: 0.13649893, Current w: 2.011112, Current b: 0.255545
Epoch 3000/120000, Loss: 0.12369624, Current w: 2.010578, Current b: 0.291317
Epoch 4000/120000, Loss: 0.11209435, Current w: 2.010070, Current b: 0.325370
Epoch 5000/120000, Loss: 0.10158064, Current w: 2.009586, Current b: 0.357786
Epoch 6000/120000, Loss: 0.09205305, Current w: 2.009125, Current b: 0.388645
Epoch 7000/120000, Loss: 0.08341908, Current w: 2.008687, Current b: 0.418022
Epoch 8000/120000, Loss: 0.07559492, Current w: 2.008269, Current b: 0.445986
Epoch 9000/120000, Loss: 0.06850462, Current w: 2.007872, Current b: 0.472607
Epoch 10000/120000, Loss: 0.06207934, Current w: 2.007494, Current b: 0.497949
Epoch 11000/120000, Loss: 0.05625671, Current w: 2.007134, Current b: 0.522073
Epoch 12000/120000, Loss: 0.05098020, Current w: 2.006791, Current b: 0.545038
Epoch 13000/120000, Loss: 0.04619859, Current w: 2.006465, Current b: 0.566900
Epoch 14000/120000, Loss: 0.04186547, Current w: 2.006154, Current b: 0.587711
Epoch 15000/120000, Loss: 0.03793877, Current w: 2.005858, Current b: 0.607522
Epoch 16000/120000, Loss: 0.03438036, Current w: 2.005577, Current b: 0.626381
Epoch 17000/120000, Loss: 0.03115571, Current w: 2.005309, Current b: 0.644334
Epoch 18000/120000, Loss: 0.02823351, Current w: 2.005054, Current b: 0.661424
Epoch 19000/120000, Loss: 0.02558540, Current w: 2.004811, Current b: 0.677693
Epoch 20000/120000, Loss: 0.02318565, Current w: 2.004580, Current b: 0.693180
Epoch 21000/120000, Loss: 0.02101099, Current w: 2.004360, Current b: 0.707923
Epoch 22000/120000, Loss: 0.01904030, Current w: 2.004150, Current b: 0.721958
Epoch 23000/120000, Loss: 0.01725445, Current w: 2.003951, Current b: 0.735318
Epoch 24000/120000, Loss: 0.01563609, Current w: 2.003761, Current b: 0.748036
Epoch 25000/120000, Loss: 0.01416953, Current w: 2.003580, Current b: 0.760143
Epoch 26000/120000, Loss: 0.01284052, Current w: 2.003408, Current b: 0.771669
Epoch 27000/120000, Loss: 0.01163617, Current w: 2.003244, Current b: 0.782640
Epoch 28000/120000, Loss: 0.01054477, Current w: 2.003089, Current b: 0.793085
Epoch 29000/120000, Loss: 0.00955574, Current w: 2.002940, Current b: 0.803027
Epoch 30000/120000, Loss: 0.00865948, Current w: 2.002799, Current b: 0.812492
Epoch 31000/120000, Loss: 0.00784728, Current w: 2.002664, Current b: 0.821502
Epoch 32000/120000, Loss: 0.00711125, Current w: 2.002536, Current b: 0.830079
Epoch 33000/120000, Loss: 0.00644426, Current w: 2.002414, Current b: 0.838244
Epoch 34000/120000, Loss: 0.00583983, Current w: 2.002298, Current b: 0.846016
Epoch 35000/120000, Loss: 0.00529210, Current w: 2.002188, Current b: 0.853416
Epoch 36000/120000, Loss: 0.00479573, Current w: 2.002083, Current b: 0.860459
Epoch 37000/120000, Loss: 0.00434593, Current w: 2.001983, Current b: 0.867164
